stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710WDB48443,,"Llys Enfys",,51.522689109,-3.199057886,,,,,,
5710AWA14479,,"Llys Gwynno",,51.520198866,-3.326766496,,,,,,
5710AWA10689,,Lodge,,51.537698979,-3.170326523,,,,,,
5710AWA10688,,Lodge,,51.537535966,-3.170659017,,,,,,
5710AWA10480,,"Lomond Crescent",,51.514853369,-3.164639106,,,,,,
5710AWA10481,,"Lomond Crescent",,51.514782426,-3.165444339,,,,,,
5710AWA11022,,"Lon Ysgubor",,51.530465024,-3.217585577,,,,,,
5710AWA11023,,"Lon Ysgubor",,51.530233544,-3.217363154,,,,,,
5710AWA10816,,"Longcross Street",,51.484390454,-3.163574629,,,,,,
5710AWA10464,,"Lonsdale Road",,51.504738701,-3.153603736,,,,,,
5710AWA11000,,Lon-y-Rhyd,,51.525498482,-3.215276408,,,,,,
5710AWA11001,,Lon-y-Rhyd,,51.525754395,-3.215744504,,,,,,
5710AWA10468,,"Lothian Cres",,51.505847373,-3.158804449,,,,,,
5710AWA10467,,"Lothian Cres",,51.505699246,-3.158325206,,,,,,
5710WDB46611,,"Lower Churchill Way",,51.479845053,-3.171249577,,,,,,
5720AWA11874,,"Lower Merthyr Dyfan",,51.420184972,-3.271186939,,,,,,
5720AWA11873,,"Lower Merthyr Dyfan",,51.419831423,-3.271450381,,,,,,
5710AWA10248,,"Lowther Road",,51.489676659,-3.171804039,,,,,,
5710AWA10247,,"Lowther Road",,51.4886092,-3.171546214,,,,,,
5710AWA10109,,"Lynton Terrace",,51.515687186,-3.130893642,,,,,,
5710AWA10082,,"Lynton Terrace",,51.511314723,-3.1311456,,,,,,
5710CAA02625,,"M&S Ty Glas Avenue",,51.526927316,-3.19170209,,,,,,
5710WDB25186,,"M&S Ty Glas Avenue",,51.526798293,-3.192895192,,,,,,
5710AWA10321,,Maelfa,,51.513678675,-3.153100988,,,,,,
5710AWA10320,,Maelfa,,51.512941562,-3.15366385,,,,,,
5710AWA12450,,"Maes y Llech",,51.507761778,-3.25499201,,,,,,
5710AWA12449,,"Maes y Llech",,51.507624268,-3.254397448,,,,,,
5710CBZ02495,,"Maes yr Awel",,51.519436118,-3.256408354,,,,,,
5310AWB31086,,"Maesglas BP Garage",,51.568956423,-3.016729447,,,,,,
5310AWB30502,,"Maesglas McDonald`s",,51.575249931,-3.008471389,,,,,,
